24
A318	P   1
A319	P   1
A320	P   2
A321	P   3
B734	P   2
B735	P   2
B737	P   2
B738	P   2
CRJ9	P   1
E195	P   1
E75L	P   1
RJ85	P   1
A332	P   3
AT72	P   1
B712	P   1
B733	P   2
B77W	P   3
CRJ7	P   1
DH8D	P   1
E145	P   1
E190	P   1
E75S	P   1
F100	P   1
AT75	P   1
